"user_input","retrieved_contexts","response","reference","faithfulness","answer_relevancy","context_precision","context_recall","completeness","formatted_contexts","latency_ms"
"What tournament was before Champions League?","['The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season. Already established as the most prestigious club tournament in football, Champions League has become even more popular with the introduction of a mini-league group stage system. The new concept had a resemblance to the FIFA World Cup with an early phase of group play followed by a knockout phase. On several occasions has the competition expanded to include more clubs – the ini', ""d European League are accumulated.\n\nWhat distinguish the Champions League from European Cup is for many the group play instead of the round-robin format. The fact is, however, that a group stage was introduced already in 1991, but the reshaping became formalised by the name shift. In the development of the competition a hybrid-form of group play and round-robin has evolved.\n\nThe tournaments have so far been dominated by the top European clubs and few surprise victories have occurred. Perhaps Porto's victory""]","According to the text, the tournament before the Champions League was the European Cup.","European Cup was tournament before Champions League.","1.0","0.9902049462607363","0.99999999995","1.0","0.9276","[1] The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season. Already established as the most prestigious club tournament in football, Champions League has become even more popular with the introduction of a mini-league group stage system. The new concept had a resemblance to the FIFA World Cup with an early phase of group play followed by a knockout phase. On several occasions has the competition expanded to include more clubs – the ini
[2] d European League are accumulated.

What distinguish the Champions League from European Cup is for many the group play instead of the round-robin format. The fact is, however, that a group stage was introduced already in 1991, but the reshaping became formalised by the name shift. In the development of the competition a hybrid-form of group play and round-robin has evolved.

The tournaments have so far been dominated by the top European clubs and few surprise victories have occurred. Perhaps Porto's victory","20092"
"Until what year was the European Cup played?","[""d European League are accumulated.\n\nWhat distinguish the Champions League from European Cup is for many the group play instead of the round-robin format. The fact is, however, that a group stage was introduced already in 1991, but the reshaping became formalised by the name shift. In the development of the competition a hybrid-form of group play and round-robin has evolved.\n\nThe tournaments have so far been dominated by the top European clubs and few surprise victories have occurred. Perhaps Porto's victory"", 'The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season. Already established as the most prestigious club tournament in football, Champions League has become even more popular with the introduction of a mini-league group stage system. The new concept had a resemblance to the FIFA World Cup with an early phase of group play followed by a knockout phase. On several occasions has the competition expanded to include more clubs – the ini']","The European Cup was played from 1992-1993.","European Cup was played until 1992.","0.0","0.9618026665902996","0.99999999995","1.0","0.9378","[1] d European League are accumulated.

What distinguish the Champions League from European Cup is for many the group play instead of the round-robin format. The fact is, however, that a group stage was introduced already in 1991, but the reshaping became formalised by the name shift. In the development of the competition a hybrid-form of group play and round-robin has evolved.

The tournaments have so far been dominated by the top European clubs and few surprise victories have occurred. Perhaps Porto's victory
[2] The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season. Already established as the most prestigious club tournament in football, Champions League has become even more popular with the introduction of a mini-league group stage system. The new concept had a resemblance to the FIFA World Cup with an early phase of group play followed by a knockout phase. On several occasions has the competition expanded to include more clubs – the ini","544"
"Since when the Champions League started to be played?","['The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season. Already established as the most prestigious club tournament in football, Champions League has become even more popular with the introduction of a mini-league group stage system. The new concept had a resemblance to the FIFA World Cup with an early phase of group play followed by a knockout phase. On several occasions has the competition expanded to include more clubs – the ini', 'more clubs – the initial 8 have become 32 (qualification stage excluded). The Champions League trophy can be kept permanently by a club that win the tournament five times or three times in a row (since the rule changed in 2008 it is only a replica). It is today almost as adored as the FIFA World Cup Trophy\n\nIf the precessor, European Cup, is not counted the Champions League started in 1992. Although, when statistics are presented for Champions League it is common that Champions League and European League ar']","The Champions League started in 1992.","Champions League started to be played from 1992.","1.0","0.9668342425988298","0.99999999995","1.0","0.9614","[1] The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season. Already established as the most prestigious club tournament in football, Champions League has become even more popular with the introduction of a mini-league group stage system. The new concept had a resemblance to the FIFA World Cup with an early phase of group play followed by a knockout phase. On several occasions has the competition expanded to include more clubs – the ini
[2] more clubs – the initial 8 have become 32 (qualification stage excluded). The Champions League trophy can be kept permanently by a club that win the tournament five times or three times in a row (since the rule changed in 2008 it is only a replica). It is today almost as adored as the FIFA World Cup Trophy

If the precessor, European Cup, is not counted the Champions League started in 1992. Although, when statistics are presented for Champions League it is common that Champions League and European League ar","425"
"What is a difference between Champions League and European Cup?","[""d European League are accumulated.\n\nWhat distinguish the Champions League from European Cup is for many the group play instead of the round-robin format. The fact is, however, that a group stage was introduced already in 1991, but the reshaping became formalised by the name shift. In the development of the competition a hybrid-form of group play and round-robin has evolved.\n\nThe tournaments have so far been dominated by the top European clubs and few surprise victories have occurred. Perhaps Porto's victory"", 'The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season. Already established as the most prestigious club tournament in football, Champions League has become even more popular with the introduction of a mini-league group stage system. The new concept had a resemblance to the FIFA World Cup with an early phase of group play followed by a knockout phase. On several occasions has the competition expanded to include more clubs – the ini']","According to the text, the key difference is that the Champions League was introduced as a new version of the European Cup in 1992-1993, and it’s now dominated by top European clubs, leading to fewer surprises.","Champions League has different format that European Cup.","1.0","0.9807366879968065","0.99999999995","1.0","0.7681","[1] d European League are accumulated.

What distinguish the Champions League from European Cup is for many the group play instead of the round-robin format. The fact is, however, that a group stage was introduced already in 1991, but the reshaping became formalised by the name shift. In the development of the competition a hybrid-form of group play and round-robin has evolved.

The tournaments have so far been dominated by the top European clubs and few surprise victories have occurred. Perhaps Porto's victory
[2] The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season. Already established as the most prestigious club tournament in football, Champions League has become even more popular with the introduction of a mini-league group stage system. The new concept had a resemblance to the FIFA World Cup with an early phase of group play followed by a knockout phase. On several occasions has the competition expanded to include more clubs – the ini","1238"
"Which club has the most wins in the Champions League?","['nother club that is not familiar to be seen at the final steps in the biggest events; they were only one goal down on aggregation against Arsenal in the semi-finals in 2006.\n\nMost times runners-up are Juventus (3), Milan (3), Bayern Munich (3) and Atlético Madrid (3). Manchester United, Valencia and Liverpool have also lost the final more than once.\n\nIf Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions L', 'more clubs – the initial 8 have become 32 (qualification stage excluded). The Champions League trophy can be kept permanently by a club that win the tournament five times or three times in a row (since the rule changed in 2008 it is only a replica). It is today almost as adored as the FIFA World Cup Trophy\n\nIf the precessor, European Cup, is not counted the Champions League started in 1992. Although, when statistics are presented for Champions League it is common that Champions League and European League ar']","According to the text, Real Madrid has the most wins in the Champions League with 13 titles.","Real Madrid has the most wins in the Champions League.","1.0","0.9070115758176657","0.9999999999","1.0","0.9023","[1] nother club that is not familiar to be seen at the final steps in the biggest events; they were only one goal down on aggregation against Arsenal in the semi-finals in 2006.

Most times runners-up are Juventus (3), Milan (3), Bayern Munich (3) and Atlético Madrid (3). Manchester United, Valencia and Liverpool have also lost the final more than once.

If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions L
[2] more clubs – the initial 8 have become 32 (qualification stage excluded). The Champions League trophy can be kept permanently by a club that win the tournament five times or three times in a row (since the rule changed in 2008 it is only a replica). It is today almost as adored as the FIFA World Cup Trophy

If the precessor, European Cup, is not counted the Champions League started in 1992. Although, when statistics are presented for Champions League it is common that Champions League and European League ar","626"
"How many times Real Madrid won European Cup?","['nother club that is not familiar to be seen at the final steps in the biggest events; they were only one goal down on aggregation against Arsenal in the semi-finals in 2006.\n\nMost times runners-up are Juventus (3), Milan (3), Bayern Munich (3) and Atlético Madrid (3). Manchester United, Valencia and Liverpool have also lost the final more than once.\n\nIf Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions L', ""haps Porto's victory in 2004 should be counted as the biggest surprise. Potential sensations that could have happened was Nantes in 1995-96 that almost managed to go through Juventus in the semi-finals (lost 3-4 on aggregate). If Dynamo Kyiv had won in 1998-99 it would also be seen as a sensation; they were only one goal down on aggregation against Bayern Munich in the semi-finals. Two years later, Leeds reached the semi-finals, but wasn't near to beat Valencia that time. Villa Real is another club that is ""]","According to the text, Real Madrid won the European Cup 13 times.","Real Madrid won European Cup 6 times.","1.0","0.991517188103923","0.0","0.0","0.9085","[1] nother club that is not familiar to be seen at the final steps in the biggest events; they were only one goal down on aggregation against Arsenal in the semi-finals in 2006.

Most times runners-up are Juventus (3), Milan (3), Bayern Munich (3) and Atlético Madrid (3). Manchester United, Valencia and Liverpool have also lost the final more than once.

If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions L
[2] haps Porto's victory in 2004 should be counted as the biggest surprise. Potential sensations that could have happened was Nantes in 1995-96 that almost managed to go through Juventus in the semi-finals (lost 3-4 on aggregate). If Dynamo Kyiv had won in 1998-99 it would also be seen as a sensation; they were only one goal down on aggregation against Bayern Munich in the semi-finals. Two years later, Leeds reached the semi-finals, but wasn't near to beat Valencia that time. Villa Real is another club that is","494"
"How many years after first edition of Champions League tournament was extended to 16 teams?","['more clubs – the initial 8 have become 32 (qualification stage excluded). The Champions League trophy can be kept permanently by a club that win the tournament five times or three times in a row (since the rule changed in 2008 it is only a replica). It is today almost as adored as the FIFA World Cup Trophy\n\nIf the precessor, European Cup, is not counted the Champions League started in 1992. Although, when statistics are presented for Champions League it is common that Champions League and European League ar', 'ion (1992-1993), the tournament consisted of 8 teams after a qualification phase. The eight teams were playing in two groups followed by a final between the group winners. The first season included in total 36 participating clubs in the qualification, since when the numbers have increased.\n\nIn the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification). The format consisted of a group phase with four groups followed by three knockout stages.\n\nIn s']","According to the text, the Champions League was extended to 16 teams in the third edition (1994-1995).","Champions League was extended to 16 teams after 2 years.","1.0","0.9717459815975414","0.49999999995","0.0","0.8511","[1] more clubs – the initial 8 have become 32 (qualification stage excluded). The Champions League trophy can be kept permanently by a club that win the tournament five times or three times in a row (since the rule changed in 2008 it is only a replica). It is today almost as adored as the FIFA World Cup Trophy

If the precessor, European Cup, is not counted the Champions League started in 1992. Although, when statistics are presented for Champions League it is common that Champions League and European League ar
[2] ion (1992-1993), the tournament consisted of 8 teams after a qualification phase. The eight teams were playing in two groups followed by a final between the group winners. The first season included in total 36 participating clubs in the qualification, since when the numbers have increased.

In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification). The format consisted of a group phase with four groups followed by three knockout stages.

In s","803"
"How many teams participated in the first edition of the Champions League?","['ion (1992-1993), the tournament consisted of 8 teams after a qualification phase. The eight teams were playing in two groups followed by a final between the group winners. The first season included in total 36 participating clubs in the qualification, since when the numbers have increased.\n\nIn the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification). The format consisted of a group phase with four groups followed by three knockout stages.\n\nIn s', 'The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season. Already established as the most prestigious club tournament in football, Champions League has become even more popular with the introduction of a mini-league group stage system. The new concept had a resemblance to the FIFA World Cup with an early phase of group play followed by a knockout phase. On several occasions has the competition expanded to include more clubs – the ini']","According to the text, the first edition of the Champions League consisted of 36 participating clubs.
","In the first edition of the Champions League 8 teams were playing.","0.0","0.9718843705905561","0.9999999999","1.0","0.7173","[1] ion (1992-1993), the tournament consisted of 8 teams after a qualification phase. The eight teams were playing in two groups followed by a final between the group winners. The first season included in total 36 participating clubs in the qualification, since when the numbers have increased.

In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification). The format consisted of a group phase with four groups followed by three knockout stages.

In s
[2] The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season. Already established as the most prestigious club tournament in football, Champions League has become even more popular with the introduction of a mini-league group stage system. The new concept had a resemblance to the FIFA World Cup with an early phase of group play followed by a knockout phase. On several occasions has the competition expanded to include more clubs – the ini","628"
"What is a Real Madrid?","[""haps Porto's victory in 2004 should be counted as the biggest surprise. Potential sensations that could have happened was Nantes in 1995-96 that almost managed to go through Juventus in the semi-finals (lost 3-4 on aggregate). If Dynamo Kyiv had won in 1998-99 it would also be seen as a sensation; they were only one goal down on aggregation against Bayern Munich in the semi-finals. Two years later, Leeds reached the semi-finals, but wasn't near to beat Valencia that time. Villa Real is another club that is "", 'nother club that is not familiar to be seen at the final steps in the biggest events; they were only one goal down on aggregation against Arsenal in the semi-finals in 2006.\n\nMost times runners-up are Juventus (3), Milan (3), Bayern Munich (3) and Atlético Madrid (3). Manchester United, Valencia and Liverpool have also lost the final more than once.\n\nIf Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions L']","According to the provided text, Real Madrid is a club that has won the Champions League and European Cup titles.","Real Madrid is a football team.","1.0","0.8694391360820122","0.0","0.0","0.8644","[1] haps Porto's victory in 2004 should be counted as the biggest surprise. Potential sensations that could have happened was Nantes in 1995-96 that almost managed to go through Juventus in the semi-finals (lost 3-4 on aggregate). If Dynamo Kyiv had won in 1998-99 it would also be seen as a sensation; they were only one goal down on aggregation against Bayern Munich in the semi-finals. Two years later, Leeds reached the semi-finals, but wasn't near to beat Valencia that time. Villa Real is another club that is
[2] nother club that is not familiar to be seen at the final steps in the biggest events; they were only one goal down on aggregation against Arsenal in the semi-finals in 2006.

Most times runners-up are Juventus (3), Milan (3), Bayern Munich (3) and Atlético Madrid (3). Manchester United, Valencia and Liverpool have also lost the final more than once.

If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions L","655"
"How many teams from Poland won Champions League?","['nother club that is not familiar to be seen at the final steps in the biggest events; they were only one goal down on aggregation against Arsenal in the semi-finals in 2006.\n\nMost times runners-up are Juventus (3), Milan (3), Bayern Munich (3) and Atlético Madrid (3). Manchester United, Valencia and Liverpool have also lost the final more than once.\n\nIf Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions L', 'more clubs – the initial 8 have become 32 (qualification stage excluded). The Champions League trophy can be kept permanently by a club that win the tournament five times or three times in a row (since the rule changed in 2008 it is only a replica). It is today almost as adored as the FIFA World Cup Trophy\n\nIf the precessor, European Cup, is not counted the Champions League started in 1992. Although, when statistics are presented for Champions League it is common that Champions League and European League ar']","The text doesn’t provide information about how many teams from Poland won the Champions League. It only mentions that Poland is one of the teams that have lost the final more than once.","No team from Poland won Champions League.","0.5","0.0","0.0","0.0","0.7022","[1] nother club that is not familiar to be seen at the final steps in the biggest events; they were only one goal down on aggregation against Arsenal in the semi-finals in 2006.

Most times runners-up are Juventus (3), Milan (3), Bayern Munich (3) and Atlético Madrid (3). Manchester United, Valencia and Liverpool have also lost the final more than once.

If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions L
[2] more clubs – the initial 8 have become 32 (qualification stage excluded). The Champions League trophy can be kept permanently by a club that win the tournament five times or three times in a row (since the rule changed in 2008 it is only a replica). It is today almost as adored as the FIFA World Cup Trophy

If the precessor, European Cup, is not counted the Champions League started in 1992. Although, when statistics are presented for Champions League it is common that Champions League and European League ar","931"
