"user_input","retrieved_contexts","response","reference","faithfulness","answer_relevancy","context_precision","context_recall","completeness","formatted_contexts","latency_ms"
"What tournament was before Champions League?","['The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season.', 'The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).']","The question asks what tournament preceded the Champions League. According to the provided text, the first season of the Champions League was in 1992-1993.","European Cup was tournament before Champions League.","0.5","0.984007699407992","0.9999999999","1.0","0.726","[1] The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season.
[2] The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).","1254"
"Until what year was the European Cup played?","['The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season.', 'It is today almost as adored as the FIFA World Cup Trophy\n\nIf the precessor, European Cup, is not counted the Champions League started in 1992.']","The European Cup started in 1992.","European Cup was played until 1992.","0.0","0.9530090587329104","0.99999999995","1.0","0.9118","[1] The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season.
[2] It is today almost as adored as the FIFA World Cup Trophy

If the precessor, European Cup, is not counted the Champions League started in 1992.","332"
"Since when the Champions League started to be played?","['The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season.', 'The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).']","The Champions League started in the 1992-1993 season.
","Champions League started to be played from 1992.","1.0","0.9668342425988298","0.9999999999","1.0","0.9349","[1] The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season.
[2] The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).","497"
"What is a difference between Champions League and European Cup?","['Although, when statistics are presented for Champions League it is common that Champions League and European League are accumulated. What distinguish the Champions League from European Cup is for many the group play instead of the round-robin format.', 'The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season.']","According to the text, the Champions League differs from the European Cup primarily due to the use of group play instead of a round-robin format.
","Champions League has different format that European Cup.","1.0","0.9759243733240757","0.99999999995","1.0","0.8655","[1] Although, when statistics are presented for Champions League it is common that Champions League and European League are accumulated. What distinguish the Champions League from European Cup is for many the group play instead of the round-robin format.
[2] The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season.","714"
"Which club has the most wins in the Champions League?","['If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions League respectively).', 'The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).']","According to the provided text, Real Madrid has the most wins in the Champions League with 7 titles.","Real Madrid has the most wins in the Champions League.","1.0","0.8683245658917377","0.9999999999","1.0","0.8995","[1] If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions League respectively).
[2] The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).","554"
"How many times Real Madrid won European Cup?","['If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions League respectively).', 'It is today almost as adored as the FIFA World Cup Trophy\n\nIf the precessor, European Cup, is not counted the Champions League started in 1992.']","According to the provided text, Real Madrid won 7 European Cup titles.","Real Madrid won European Cup 6 times.","0.0","0.9676423259158886","0.9999999999","1.0","0.8348","[1] If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions League respectively).
[2] It is today almost as adored as the FIFA World Cup Trophy

If the precessor, European Cup, is not counted the Champions League started in 1992.","405"
"How many years after first edition of Champions League tournament was extended to 16 teams?","['The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).', 'In season 1999-2000 the tournament expanded for the third time and would now include 32 teams (excluding the qualification).']","According to the provided text, the tournament was expanded for the third time in 1999-2000.

Therefore, the extension occurred **1999-2000**.
","Champions League was extended to 16 teams after 2 years.","1.0","0.8591076265180133","0.0","0.0","0.4264","[1] The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).
[2] In season 1999-2000 the tournament expanded for the third time and would now include 32 teams (excluding the qualification).","991"
"How many teams participated in the first edition of the Champions League?","['The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).', 'The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season.']","According to the provided text, the first edition of the Champions League included a total of 36 participating clubs.
","In the first edition of the Champions League 8 teams were playing.","0.0","0.9718843705905561","0.0","0.0","0.7024","[1] The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).
[2] The UEFA Champions League came about as a new version of the European Cup and was played for the first time in the 1992-1993 season.","578"
"What is a Real Madrid?","['If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions League respectively).', 'Villa Real is another club that is not familiar to be seen at the final steps in the biggest events; they were only one goal down on aggregation against Arsenal in the semi-finals in 2006.']","According to the context, Real Madrid is a football (soccer) club that has won 13 titles, including 6 Champions League and 7 European Cup titles.","Real Madrid is a football team.","1.0","0.8745050647214789","0.0","0.0","0.8183","[1] If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions League respectively).
[2] Villa Real is another club that is not familiar to be seen at the final steps in the biggest events; they were only one goal down on aggregation against Arsenal in the semi-finals in 2006.","794"
"How many teams from Poland won Champions League?","['The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).', 'If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions League respectively).']","The provided text doesn't mention any information about Polish clubs winning the Champions League. It focuses on the number of participating clubs in the qualification and the number of teams in the Champions League.","No team from Poland won Champions League.","1.0","0.0","0.0","0.0","0.6456","[1] The first season included in total 36 participating clubs in the qualification, since when the numbers have increased. In the third edition of the Champions League (1994-1995), the tournament expanded to 16 teams (excluding the qualification).
[2] If Champions League and European Cup titles are combined, Real Madrid is still the best performing club with 13 titles (6 and 7 in European Cup and Champions League respectively).","874"
